,f1_ents,p_ents,r_ents
49,0.7747368421052633,0.7698744769874477,0.7796610169491526
50,0.8450000000000001,0.8284313725490197,0.8622448979591837
51,0.8039603960396039,0.7868217054263565,0.8218623481781376
52,0.7857142857142857,0.7857142857142857,0.7857142857142857
53,0.8519362186788155,0.8423423423423423,0.8617511520737328
54,0.8668280871670702,0.8483412322274881,0.8861386138613861
55,0.8038095238095239,0.7843866171003717,0.82421875
56,0.774703557312253,0.765625,0.784
57,0.8486140724946696,0.8432203389830508,0.8540772532188842
58,0.8395061728395061,0.8360655737704918,0.8429752066115702
59,0.8242424242424242,0.8031496062992126,0.8464730290456431
60,0.8213457076566126,0.8009049773755657,0.8428571428571429
61,0.7948164146868251,0.7896995708154506,0.8
62,0.8042105263157894,0.8162393162393162,0.7925311203319502
63,0.8151898734177215,0.7740384615384616,0.8609625668449198
64,0.9043478260869564,0.8851063829787233,0.9244444444444444
65,0.7839195979899498,0.7959183673469388,0.7722772277227723
66,0.7460674157303371,0.7186147186147186,0.7757009345794392
67,0.8612836438923395,0.8387096774193549,0.8851063829787233
68,0.849785407725322,0.8354430379746836,0.8646288209606987
69,0.8514851485148515,0.8431372549019608,0.86
70,0.8256880733944955,0.8108108108108109,0.8411214953271028
71,0.8165938864628821,0.8025751072961373,0.8311111111111111
72,0.7829977628635346,0.7709251101321586,0.7954545454545454
73,0.8061420345489443,0.7924528301886793,0.8203125
74,0.8595744680851064,0.8487394957983193,0.8706896551724138
75,0.8620689655172413,0.8264462809917356,0.9009009009009009
76,0.8483516483516483,0.8427947598253275,0.8539823008849557
77,0.8666666666666667,0.8705357142857143,0.8628318584070797
78,0.7405940594059407,0.7192307692307692,0.763265306122449
79,0.8144329896907216,0.8102564102564103,0.8186528497409327
80,0.8137931034482759,0.7972972972972973,0.8309859154929577
81,0.8468468468468467,0.8281938325991189,0.8663594470046083
82,0.8357487922705314,0.8277511961722488,0.8439024390243902
83,0.8438228438228439,0.8457943925233645,0.8418604651162791
84,0.84,0.8195121951219512,0.8615384615384616
85,0.7623318385650225,0.748898678414097,0.776255707762557
86,0.8654708520179372,0.8539823008849557,0.8772727272727273
87,0.8098434004474273,0.7835497835497836,0.8379629629629629
88,0.7649572649572649,0.7336065573770492,0.7991071428571429
89,0.7743467933491687,0.7652582159624414,0.7836538461538461
90,0.7745098039215687,0.7488151658767772,0.8020304568527918
91,0.7698574338085541,0.7529880478087649,0.7875
92,0.7753303964757711,0.7521367521367521,0.8
93,0.8289156626506025,0.8037383177570093,0.8557213930348259
94,0.767123287671233,0.7533632286995515,0.7813953488372093
95,0.816414686825054,0.8146551724137931,0.8181818181818182
96,0.8054919908466819,0.7857142857142857,0.8262910798122066
97,0.7780126849894291,0.7540983606557377,0.8034934497816594
98,0.8866396761133603,0.8725099601593626,0.9012345679012346
99,0.8329297820823245,0.8151658767772512,0.8514851485148515
